model,horizon,component,rmse,mae,corr
RNN,2,component_03,0.7900403146134908,0.6475040909805125,0.29881993088687575
RNN,2,component_04,0.7624034348033912,0.5976948545116424,0.2769539028973091
RNN,2,component_05,0.7869465145116882,0.6187882588109258,0.1736861215436743
RNN,2,component_06,0.7895148879553805,0.6269247307387323,0.4350992873170044
RNN,2,component_07,0.8317421529139658,0.6702452803137045,0.18150948866372651
RNN,2,component_08,0.8386362757019648,0.6702666650954489,0.2522303116595468
RNN,2,component_09,0.7637733322589298,0.6070004417354591,0.401834457959702
RNN,2,component_10,0.8268975285550997,0.6655462589978147,0.17900021004655192
RNN,2,component_11,0.8835138334570211,0.7104665662541677,0.2613673634641015
RNN,2,component_12,0.785345513628752,0.6160142481492907,0.22948318646097046
RNN,2,component_13,0.8194306314811813,0.6390437348803185,0.16232524150944064
RNN,2,component_14,0.8213238991265404,0.6396928105033466,0.1884872364606734
RNN,2,component_15,0.8205376522442692,0.6579059077129163,0.22177645891014836
RNN,2,component_16,0.8347573626852113,0.6789187036333814,0.15984111234717302
RNN,2,component_17,0.8298182164313153,0.6641966918348128,0.07650014228614387
RNN,2,component_18,0.8311042828935854,0.6618275790368907,0.05230307993322606
RNN,2,component_19,0.7954679473757938,0.6396527659889283,0.1864964021585627
RNN,2,component_20,0.7683314600652481,0.6072096966877704,0.2155611219133041
RNN,2,component_21,0.7929327603492333,0.637048266896165,0.21509143215443277
RNN,2,component_22,0.8270806994748319,0.6717071324669432,0.2497026644824547
RNN,2,component_23,0.7880341501226688,0.6386905832327846,0.2776624503392847
RNN,2,component_24,0.8251719551425635,0.6716079762318942,0.06822606230637727
RNN,2,component_25,0.7180857591317358,0.5817816630305318,0.29939200560325485
RNN,2,component_26,0.8202355359607515,0.6562252557679986,0.11518362977240024
RNN,2,component_27,0.807226053789203,0.639288134861397,0.12224051177018352
RNN,2,component_28,0.7159078469534608,0.5703582928131236,0.26898348090941515
RNN,2,component_29,0.7426405648893977,0.6118989505506777,0.21868367120030763
RNN,2,component_30,0.8805190710488094,0.697348809002398,0.21816387223567696
RNN,2,component_31,0.7965187205544825,0.6445330017282991,0.12844732508883427
RNN,2,component_32,0.8147085784041,0.6634277643824602,0.1619387885411803
RNN,2,component_33,0.8042497250017889,0.6434535019537695,0.13158703696370383
RNN,2,component_34,0.7821983630236096,0.6268974538580474,0.31372551443707825
RNN,2,component_35,0.8598721095502355,0.6823279581001817,0.06384378001991389
RNN,2,component_36,0.7003083943410009,0.5588534977780535,0.25498143680324514
RNN,2,component_37,0.7922243262695845,0.6298892574767444,0.179489912492968
RNN,2,component_38,0.7639482541076564,0.6037996302734544,0.17653507308509767
RNN,2,component_39,0.7794725657474662,0.6283818936647727,0.07641657782411705
RNN,2,component_40,0.7625306008491524,0.619517054160008,0.10501555482220266
RNN,2,component_41,0.7965895866991711,0.6428098157435781,0.05189236983289361
RNN,2,component_42,0.8524347571511243,0.6891717721835448,0.044632950107684026
RNN,2,component_43,0.7130519384240824,0.5762529973230737,0.242886021080933
RNN,2,component_44,0.7354099961693792,0.589598598877521,0.16448118623990374
RNN,2,component_45,0.7554838816790229,0.597319189669211,0.24592925593300324
RNN,2,component_46,0.7833192981840194,0.6363659567489686,0.15595115779403662
RNN,2,component_47,0.7666332101312846,0.6067519080364537,0.08206982285002933
RNN,2,component_48,0.7620871079376679,0.607828355556097,0.18323337316516725
RNN,2,component_49,0.721128319205116,0.570922141279257,0.10855509588998008
RNN,2,component_50,0.7435249740046999,0.5904961608983293,0.39951541561492904
RNN,2,component_51,0.7655234640403941,0.6044386202152229,0.040613051217996375
RNN,2,component_52,0.7741071808654828,0.6210692936950934,0.1807178360692788
RNN,2,component_53,0.7455063365096608,0.589282541641154,0.13082787424267023
RNN,2,component_54,0.7531840479746745,0.6048399931926636,0.19160311920819048
RNN,2,component_55,0.7907091848285752,0.6323848397032833,0.09050649726054288
RNN,2,component_56,0.7582941469234107,0.6114209889247624,0.21713820023430486
RNN,2,component_57,0.7897656969286123,0.627387312893126,0.09678597485642228
